"held","common","latin","hue","visual","water","aspect","soil","prune","source","peak","order","bench","root","trade","retail","margin","type","shrink","returnRisk","pots","cvs","hardiness","resilience","uses","size","pest","seasonalImpact","growthSpeed","pestRisk","thirst","careLevel","sunNeed","sunMin","toxicity","compliance","hardinessNote","foliage","rootSize","stockForm","pollination","clay"
"0","Globosa Nana Japanese Cedar","Cryptomeria japonica 'Globosa Nana'","120","Dense rounded dwarf conifer · soft rich-green sprays may bronze in winter cold","Moderate; water during dry spells","East / South / West","Moist, well-drained; Shelter from cold drying winds","No routine pruning; remove dead or damaged shoots","","Jan-Dec","","","","","","","","","","","syn. 'Lobbii Nana' misapplied","H6","cold hardy · generally pest free","containers · rock gardens · evergreen structure","0.5–1 m H × 0.5–1 m W","","","5","3","9","3","70","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Paperbush","Edgeworthia chrysantha","50","Silvery woolly buds open fragrant yellow flowers on bare stems in late winter","Moderate; keep evenly moist","East / South / West","Humus-rich, well-drained; Sheltered · avoid exposed frost pockets","No routine pruning; remove dead or damaged wood","","Feb-Mar","","","","","","","","","","","syn. Edgeworthia tomentosa; Edgeworthia papyrifera","H4","generally pest and disease free","courtyards · containers · wall borders · winter scent","1–1.5 m H × 1–1.5 m W","","","6","2","10","7","55","35","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Pink Marble Christmas Berry","Photinia × fraseri PINK MARBLE ('Cassini')","345","Pink-red new leaves mature green with cream-white margins · evergreen colour","Moderate; water during prolonged dry spells","Any aspect","Fertile, well-drained; Avoid waterlogging · acid to neutral soil","Trim after spring flush; hedge as needed in summer","","Jan-Dec","","","","","","","","","","","trade name PINK MARBLE; cultivar 'Cassini'","H5","exposed-site tolerant · evergreen · low maintenance","hedging · screening · specimen · foliage colour","2.5–4 m H × 2.5–4 m W","","","10","11","8","7","75","40","","","Hardy through a cold UK winter, withstanding -15 to -10C.","evergreen","","","",""
"0","Sunset Rock Rose","Cistus × pulverulentus 'Sunset'","335","Low grey-green evergreen mound · vivid rose-pink flowers with golden centres","Low once established","South / West","Poor, sharply drained; Full sun · avoid winter wet","Lightly trim after flowering; never cut hard into old wood","","Jun-Sep","","","","","","","","","","","syn. Cistus 'Sunset'; Cistus crispus 'Sunset'","H4","drought tolerant · coastal · generally pest free","gravel gardens · groundcover · containers","0.3–0.5 m H × 0.5–1 m W","","","7","3","3","4","98","90","","","Hardy through an average UK winter, withstanding -10 to -5C.","evergreen","","","",""
"0","Oleander","Nerium oleander","335","Clusters of pink flowers all summer · narrow leathery evergreen leaves in whorls","Water freely in growth; sparingly in winter","South / West","Any well-drained soil; Overwinter frost-free · avoid winter wet","Cut back flowered shoots after flowering; wear gloves","","Jun-Oct","","","","","","","","","","","sold in many named colour forms; this is a pink form","H3","heat · drought · coastal tolerant in mild sites","patio containers · conservatory · Mediterranean gardens","2–4 m H × 1.5–2.5 m W","","","10","9","6","9","95","80","","","Half-hardy: withstands -5 to 1C. Outdoors in mild or coastal UK gardens; needs shelter or winter protection elsewhere.","evergreen","","","",""
"0","Emerald 'n' Gold Spindle","Euonymus fortunei 'Emerald 'n' Gold'","55","Deep-green leaves broadly edged gold · margins flush pink-red in winter","Moderate until established; water in dry spells","Any aspect","Moist, well-drained; Avoid waterlogging · deep shade dulls colour","Trim in spring to shape; remove reverted green shoots","","Jan-Dec","","","","","","","","","","","","H5","exposed-site tolerant · adaptable · low maintenance","groundcover · containers · low hedging · wall training","0.5–1 m H × 1–1.5 m W","","","7","10","7","5","65","25","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Emerald Gaiety Spindle","Euonymus fortunei 'Emerald Gaiety'","110","Grey-green leaves edged creamy white · margins blush pink in cold weather","Moderate until established; water in dry spells","East / South / West","Moist, well-drained; Avoid waterlogging · deep shade weakens variegation","Trim in spring to shape; remove reverted green shoots","","Jan-Dec","","","","","","","","","","","syn. Euonymus 'Gaiety'","H5","exposed-site tolerant · adaptable · low maintenance","groundcover · containers · low hedging · wall training","0.5–1 m H × 1–1.5 m W","","","7","10","7","5","65","40","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Japanese Knotweed","Reynoutria japonica","105","Hollow bamboo-like stems flecked red · zig-zag shovel leaves · creamy sprays","Adaptable — thrives in moist or badly drained ground","Any aspect","Any soil, any pH; ILLEGAL TO SPREAD · 1cm rhizome regrows","Never strim, mow or shred — fragments spread it","","Aug-Oct","","","","","","","","","","","syn. Fallopia japonica · Polygonum cuspidatum","H7","","ID and report only","1.5–2.5 m H × 2.5–4 m+ W","","","20","2","8","20","70","40","","ILLEGAL TO SPREAD. Must not be planted or caused to grow in the wild, and you must stop it spreading off your property; cut material and contaminated soil are controlled waste — registered carrier and authorised facility only. A 1cm fragment of rhizome regrows after years dormant. Use a specialist contractor.","Very hardy: withstands below -20C, so hardy anywhere in the UK.","","","","",""
"0","Jelena Witch Hazel","Hamamelis × intermedia 'Jelena'","28","Copper-orange scented ribbons on bare winter stems · fiery autumn leaves","Moderate; keep evenly moist through summer","Any aspect","Humus-rich, acid-neutral; Shelter from cold drying winds","No routine pruning; shape right after flowering","","Jan-Mar","","","","","","","","","","","syn. 'Copper Beauty'","H5","cold hardy · long-lived · low maintenance","winter scent · specimen · woodland edge · beside paths","2.5-4m H × 2.5-4m W","","","6","4","11","6","80","45","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Mountain Hydrangea","Hydrangea serrata","220","Small lacecap heads, blue to pink by soil pH · red-purple autumn leaves","Keep consistently moist, especially in warm weather","Any aspect","Humus-rich, any pH; Never let it dry out; shelter from hot sun","Flowers on old wood — trim lightly after flowering only","","Jul-Sep","","","","","","","","","","","syn. H. macrophylla subsp. serrata","H4","cool-climate tolerant · harmful if eaten · may irritate skin","woodland edge · shady borders · containers · small gardens","1-1.5m H × 1-1.5m W","","","10","10","15","8","55","30","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Pink Kousa Dogwood","Cornus kousa","335","Deep rose-pink bracts in early summer · strawberry fruit · red autumn","Regular in dry spells; dislikes drought","Any aspect","Humus-rich, acid-neutral; Avoid shallow chalk and dry ground","Minimal; take out dead or crossing stems in late winter","","Jun-Jul","","","","","","","","","","","unnamed pink form — the species is cream-white","H6","anthracnose-resistant · trouble-free · good autumn colour","specimen tree · small gardens · woodland edge","4-8m H × 4-8m W","","","7","4","12","5","70","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Waterlily 'Marliacea Carnea'","Nymphaea 'Marliacea Carnea'","350","Classic hardy waterlily with rounded green floating leaves, often bronze-flushed when young, and large semi-double flowers that open cream-white to very pale blush pink with a warm golden-yellow centre.","Permanent still water; aim for about 45–75cm of water over the crown once established, starting shallower while establishing.","Any aspect","Heavy aquatic loam; Not multipurpose; it floats out","Remove fading flowers and yellow or damaged leaves regularly. Cut dying foliage back low in late autumn before it sinks and decays.","","Jun-Sep","","","","","","","","","","","Marliacea Carnea","H5","Hardy, vigorous and long-lived in stable still water; generally low maintenance once established but dislikes constant splashing and overcrowding.","Medium to large ponds, wildlife ponds, ornamental aquatic planting, water-surface cover and summer flowering.","0.1–0.15m H × 1–1.5m W","","","14","9","20","6","95","80","","","Hardy through most of the UK when the rhizome remains submerged; foliage dies back for winter and regrows in spring.","deciduous","","","",""
"0","Dwarf Fan Palm","Chamaerops humilis","105","Bushy multi-stemmed palm · dense crown of stiff green fan leaves","Regular while young, then let the surface dry","East / South / West","Free-draining fertile loam; Winter drainage is critical","Remove dead fronds · never cut the growing points","","Jan-Dec","","","","","","","","","","","","H4","wind, drought and coastal tolerant · leaf spines can injure","containers · gravel gardens · coastal and exotic planting","1.5-2.5m H × 1-1.5m W","","","4","4","6","8","70","40","Leaf stalks can carry sharp spines capable of causing physical injury; site away from narrow paths and children's play areas.","","Hardier than its Mediterranean appearance suggests but less cold tolerant than Trachycarpus fortunei; severe UK winters can damage leaves or stems.","evergreen","","","",""
"0","Corkscrew Hazel","Corylus avellana 'Contorta'","40","Bizarrely twisted corkscrew branches · yellow late-winter catkins · crumpled leaves","Water while young; copes with dry spells after","East / South / West","Chalk, clay, loam or sand; Straight shoots below a graft are suckers","Cut straight rootstock suckers right out · otherwise minimal","","Jan-Mar","","","","","","","","","","","Contorta","H6","robust and adaptable · grafted plants throw straight suckers","winter structure · cut stems · containers · wildlife gardens","2.5-4m H × 2.5-4m W","","","7","7","8","6","70","35","Nuts, when produced and fully mature, are edible.","","Very hardy throughout the UK.","deciduous","","","",""
"0","Cider Gum 'Azura'","Eucalyptus gunnii Azura ('Cagire')","190","Silver-blue rounded juvenile leaves on pale stems · compact bushy habit","Water well while young; drought tolerant after","South / West","Fertile, drained, any pH; Still a big plant unless coppiced","Coppice in spring for round juvenile leaves · or train as a small tree","","Jan-Dec","","","","","","","","","","","Cagire","H5","fast and regenerates hard after pruning · foliage harmful if eaten","silver foliage · cut foliage · containers with regular pruning","4-8m H × 2.5-4m W","","","15","8","9","10","100","85","Eucalyptus foliage and concentrated eucalyptus oils are harmful if ingested in quantity and should be kept away from pets and children.","","Selected for improved hardiness and compact growth; established plants are hardy through most UK gardens, though young shoots can be damaged by severe frost.","evergreen","","","",""
"0","Japanese Flowering Cherry 'Kanzan'","Prunus 'Kanzan'","335","Upright deciduous flowering cherry with bronze young foliage and spectacular clusters of large double deep pink spring flowers.","Water while establishing.","East / South / West","Fertile, moist, drained; Never prune in winter; silver leaf","Prune only when necessary in midsummer after flowering.","","Mar-May","","","","","","","","","","","'Kanzan'","H6","Cold hardy but susceptible to several common Prunus diseases.","Specimen tree, avenues and ornamental lawns.","8–12 m H × 4–8 m W","","","13","9","8","6","85","60","Seeds and damaged foliage contain compounds that should not be eaten.","","Hardy throughout the UK.","Deciduous; bronze young leaves maturing green with autumn colour.","","","",""
"0","Lady's Mantle","Alchemilla mollis","65","Clump-forming perennial with soft scalloped grey-green leaves that hold water droplets and airy sprays of lime-yellow flowers.","Water during establishment; tolerates moderate dryness once established.","East / West","Any, moist but drained; Self-seeds freely where it's happy","Cut back flowers and tired foliage after flowering to encourage fresh growth and reduce self-seeding.","","Jun-Jul","","","","","","","","","","","","H7","Very hardy and easy to establish.","Ground cover, border edging, cottage gardens and underplanting.","0.5–1 m H × 0.5–1 m W","","","15","2","9","3","55","25","","","Extremely hardy, below -20°C.","Herbaceous; rounded, softly hairy grey-green leaves.","","","",""
"0","Heuchera 'Timeless Night'","Heuchera villosa 'Timeless Night'","320","Near-black ruffled leaves all year · slim stems of clear rose-pink bells","Keep evenly damp; dislikes drought and sogginess","Any aspect","Fertile, moist but drained; Vine weevil grubs eat the roots","Deadhead spent spikes · tidy old leaves in spring · replant lifted crowns","","May-Sep","","","","","","","","","","","RHS name: Heuchera 'Timeless Night' · Timeless series","H6","very hardy · holds its colour all winter · vine weevil in pots is the standard problem","containers · front of borders · shade · foliage contrast · edging","0.1-0.5m H × 0.1-0.5m W","","","9","12","11","6","50","15","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Snowy Mespilus","Amelanchier lamarckii","20","Bronze new leaves with clouds of white blossom · edible berries · fiery autumn","Water while young and through long dry spells","East / South / West","Moist, drained, lime-free; Avoid shallow chalk and drought","Little needed · keep the natural multi-stem shape","","Apr-Nov","","","","","","","","","","","Also sold as Juneberry or Serviceberry — same plant","H7","reliable and very hardy · berries edible and taken by birds","small gardens · multi-stem trees · blossom and autumn colour","4-8m H × 2.5-4m W","","","10","5","12","5","70","35","Ripe berries are edible and are also readily taken by birds.","","Exceptionally hardy throughout the UK.","deciduous","","","",""
"0","Crab Apple 'John Downie'","Malus 'John Downie'","18","White blossom from pink buds · big red-flushed yellow fruit — the jelly crab","Water while establishing and through long dry spells","Any aspect","Fertile, moist, drained; Avoid waterlogging · give the crown room","Little needed · in late winter take out dead, crossing or damaged wood","","Apr-Oct","","","","","","","","","","","John Downie","H6","very hardy · takes any soil pH · scab-prone, with canker behind it","spring blossom · autumn fruit · jelly · wildlife · pollination partner for apples","8-12m H × 4-8m W","","","12","13","10","7","85","45","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","English Oak","Quercus robur","100","Wavy-lobed leaves on almost no stalk · acorns on long stalks in autumn","Water while establishing; drought-tough once away","Any aspect","Deep, fertile, heavy soil; Needs real space — a parkland tree","Little needed · take out dead wood in mid to late summer","","Apr-Oct","","","","","","","","","","","'Fastigiata' — narrow upright · 'Concordia' — golden","H7","extremely long-lived and wind-firm · mildew and knopper galls are cosmetic · oak processionary moth is a regulated pest in parts of London and the South East","parkland · large gardens · native and wildlife planting · hedgerow standards","12m+ H × 12m+ W","","","9","10","8","5","85","45","","","Very hardy: withstands below -20C, so hardy anywhere in the UK.","","","","",""
"0","Poppin' Purple Agapanthus","Agapanthus POPPIN’ PURPLE ('PM003')","275","Near-black buds open to intense violet-purple trumpets · reblooms","Water freely in growth; keep pots dry through winter","South / West","Fertile, free-draining; Winter wet rots the crown · pots freeze","Deadhead or leave the seedheads · split congested clumps in spring","","Jul-Sep","","","","","","","","","","","'PM003' · syn. Ever Amethyst · Everpanthus Series","H4","fast and free-flowering · bred for resistance to Erwinia crown rot · slugs, gall midge and winter wet are still the risks","patio containers · sunny borders · coastal · cutting · pollinators","0.5-1m H × 0.1-0.5m W","slugs","","13","7","9","6","95","70","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Black Bamboo","Phyllostachys nigra","115","Culms emerge green and darken through brown to glossy near-black · feathery leaves","Generous while establishing and in dry weather","East / South / West","Fertile, humus-rich; RUNNING — needs a rhizome barrier","Thin old and weak culms · strip low leaves to show the stems","","Jan-Dec","","","","","","","","","","","","H5","hardy and strong-growing · rhizomes escape without a barrier","screening · Japanese-style gardens · large containers","4-8m H × 2.5-4m+ W","","","17","7","13","14","70","40","","","Hardy through most UK gardens once established.","evergreen","","","",""
"0","Cherry Laurel 'Rotundifolia'","Prunus laurocerasus 'Rotundifolia'","105","Fast-growing dense evergreen shrub with large glossy rounded dark green leaves, white flower spikes and black fruits.","Water during establishment; drought tolerant when mature.","East / West","Any, reasonably drained; Cut with secateurs, not a trimmer","Trim in spring and summer as required; secateurs reduce unsightly cut leaves compared with hedge trimmers.","","Jan-Dec","","","","","","","","","","","'Rotundifolia'","H5","Extremely robust and shade tolerant.","Hedging, screening and evergreen structure.","4–8 m H × 4–8 m W","","","19","7","7","5","45","5","Leaves, seeds and other parts are harmful if eaten.","","Hardy in most UK locations.","Evergreen; broad glossy dark green leaves.","","","",""
"0","Bay Laurel","Laurus nobilis","100","Aromatic evergreen shrub or small tree with glossy leathery leaves widely used as a culinary herb.","Water while establishing; established plants tolerate moderate drought.","East / South / West","Fertile, well-drained; Winter wet and freezing wind","Clip in spring or summer to maintain shape; remove cold-damaged growth after frost risk passes.","","Jan-Dec","","","","","","","","","","","","H4","Drought and salt tolerant but vulnerable to severe frost in exposed sites.","Culinary gardens, topiary, hedging and containers.","8–12 m H × 4–8 m W","","","9","8","6","6","70","35","","","Hardy through much of the UK, approximately -10 to -5°C.","Evergreen; aromatic glossy dark green leaves.","","","",""
"0","Dogwood 'Midwinter Fire'","Cornus sanguinea 'Midwinter Fire'","25","Deciduous suckering shrub prized for brilliant yellow-orange and fiery red winter stems.","Water during establishment; tolerates moist ground.","East / South / West","Any, moist but drained; Shade dulls the winter stems","For brightest stems cut back hard to a low framework in spring once established.","","Dec-Feb","","","","","","","","","","","'Midwinter Fire'","H6","Very robust and tolerant of cold and moisture.","Winter gardens, mass planting and mixed shrub borders.","1.5–2.5 m H × 1.5–2.5 m W","","","15","4","12","6","70","35","","","Hardy throughout the UK.","Deciduous; green leaves with autumn colour.","","","",""
"0","Spotted Laurel 'Crotonifolia'","Aucuba japonica 'Crotonifolia'","70","Big leathery leaves splashed gold · red berries on females near a male plant","Water while young, then tolerates dry shade","North / East","Most drained garden soils; Strong sun bleaches the leaves","Cut overgrown stems individually in spring · never shear","","Jan-Dec","","","","","","","","","","","Crotonifolia","H5","superb in deep shade and towns · very low upkeep · berries not edible","deep shade · evergreen screening · dry borders · containers","1.5-2.5m H × 1.5-2.5m W","","","7","5","7","4","20","5","Berries are ornamental and should not be eaten.","","Hardy throughout most UK gardens.","evergreen","","","",""
"0","Darwin's Barberry","Berberis darwinii","30","Dense spiny evergreen shrub with small glossy leaves and vivid orange-yellow flowers followed by dark blue-purple berries.","Water while establishing; drought tolerant once mature.","East / South / West","Any soil, well-drained; Spines injure; gloves when pruning","Trim after flowering if shaping is required; wear protective gloves.","","Mar-May","","","","","","","","","","","","H5","Robust, wind tolerant and drought resistant once established.","Hedging, screening, wildlife gardens and evergreen structure.","2.5–4 m H × 2.5–4 m W","","","13","4","6","5","65","35","Berries are not generally considered edible garden fruit; thorny stems can injure.","","Hardy in most UK locations, approximately -15 to -10°C.","Evergreen; small glossy dark green spiny-edged leaves.","","","",""
"0","Climbing Hydrangea","Hydrangea petiolaris","0","Self-clinging woody climber with glossy green foliage and broad lacecap-like heads of creamy-white flowers.","Water regularly during establishment.","North / East","Humus-rich, moist, drained; Slow to start; hates dry soil","Prune after flowering to restrict spread and remove unwanted shoots.","","Jun-Jun","","","","","","","","","","","","H5","Hardy and vigorous once established.","Shady walls, mature trees and large structures.","8–12 m H × 4–8 m W","","","12","5","13","6","35","10","Harmful if eaten; may irritate skin.","","Hardy in most UK locations.","Deciduous; ovate dark green leaves turning yellow in autumn.","","","",""
"0","Common Beech","Fagus sylvatica","100","Majestic deciduous tree with smooth grey bark and fresh green leaves turning rich copper-gold in autumn.","Water young trees during establishment.","East / South / West","Fertile, well-drained; Dislikes prolonged waterlogging","Prune during dormancy when structural work is required.","","Sep-Nov","","","","","","","","","","","","H7","Very hardy and wind tolerant when established.","Large specimen tree, woodland and formal hedging.",">12 m H × >8 m W","","","12","7","8","5","60","30","Beech mast should not be eaten in quantity.","","Extremely hardy, below -20°C.","Deciduous; oval green leaves turning copper-gold.","","","",""
"0","Wall Cotoneaster","Cotoneaster horizontalis","0","Low spreading shrub with distinctive herringbone branching, small leaves, pink-white flowers and abundant red autumn berries.","Water while establishing; drought tolerant later.","East / South / West","Any soil, well-drained; Schedule 9; do not spread in the wild","Prune minimally, removing unwanted growth after flowering or fruiting.","","Sep-Nov","","","","","","","","","","","","H6","Very hardy, pollution tolerant and adaptable.","Walls, banks, ground cover and wildlife planting.","0.5–1 m H × 1.5–2.5 m W","","","12","5","6","5","70","35","Fruit may cause stomach upset if eaten.","Listed on Schedule 9 in parts of UK legislation regarding release into the wild; do not plant or allow spread in the wild where restrictions apply.","Hardy throughout the UK.","Deciduous to semi-evergreen; small glossy leaves turning red in autumn.","","","",""
"0","Californian Lilac 'Concha'","Ceanothus 'Concha'","220","Small glossy leaves smothered in cobalt-blue clusters from red-purple buds","Water while young, then leave it dry","South / West","Free-draining, any pH; Winter wet kills it · avoid frost pockets","Trim lightly after flowering · never cut into old bare wood","","Apr-Jun","","","","","","","","","","","Concha","H4","fast and drought-proof · short-lived · resents hard pruning","sunny walls · Mediterranean borders · pollinators","2.5-4m H × 2.5-4m W","","","14","5","6","10","100","85","","","Hardy in many UK gardens but vulnerable to severe frost, cold winds and wet winters; a warm sheltered site markedly improves reliability.","evergreen","","","",""
"0","Redvein Enkianthus","Enkianthus campanulatus","15","Tiered branches · waxy cream bells veined red · brilliant scarlet autumn foliage","Even moisture while establishing and in dry summers","Any aspect","Humus-rich, acid-neutral; Avoid chalk and prolonged drought","Little needed · tidy damaged or crossing stems after flowering","","May-Nov","","","","","","","","","","","","H6","long-lived and cold hardy · dislikes lime and drying wind","woodland gardens · autumn colour · Japanese-style planting","2.5-4m H × 2.5-4m W","","","6","4","14","7","60","30","","","Very hardy in suitable soil throughout the UK.","deciduous","","","",""
"0","Strawberry Tree","Arbutus unedo","10","Shredding red-brown bark · white urn flowers and red fruit together in autumn","Water while young; tolerates summer dryness after","South / West","Loam, sand or chalk; Dislikes wet heavy winter ground","Very little · take out dead or badly placed wood in spring","","Sep-Nov","","","","","","","","","","","","H4","evergreen · drought and coastal tolerant · fruit edible","coastal gardens · evergreen specimens · wildlife planting","4-8m H × 4-8m W","","","8","6","7","6","90","70","Ripe fruits are edible but are generally valued more as an ornamental feature than as a high-quality dessert fruit.","","Hardy in many UK gardens, particularly in mild, sheltered and coastal areas; young growth can be damaged by severe frost.","evergreen","","","",""
"0","Soft Tree Fern","Dicksonia antarctica","115","Fibrous brown trunk topped by a crown of arching, finely divided fronds","Keep trunk and roots damp · water the trunk itself","North / East","Humus-rich, neutral-acid; Never let the trunk or roots dry","Cut dead fronds close to the trunk · never cut the crown","","May-Oct","","","","","","","","","Imported tree-fern trunks are subject to source-country harvesting and trade paperwork — check the supplier's documentation before sale.","","","H3","very slow to build trunk · pack the crown with straw before frost","woodland gardens · shaded courtyards · fern and exotic planting","2.5-4m H × 2.5-4m W","","","2","3","18","16","25","10","","Commercially harvested Australian tree ferns may be subject to source-country harvesting, tagging and trade controls. Dicksonia antarctica itself is not currently listed under CITES for trade restrictions.","The crown is vulnerable below roughly -5°C. In much of the UK the crown should be packed with dry straw, fleece or similar insulation before significant frost, with extra protection around the upper trunk in colder areas.","evergreen","","","",""
"0","Golden Privet","Ligustrum ovalifolium 'Aureum'","55","Rich yellow leaves with green centres · dense upright evergreen hedging shrub","Moderate; low once established","Any aspect","Any well-drained soil; Best foliage colour in sun","Trim in late summer; renovate hard if needed","","Jan-Dec","","","","","","","","","","","syn. Ligustrum ovalifolium 'Aureomarginatum'","H5","exposed-site tolerant · adaptable · urban suitable","hedging · screening · topiary · foliage colour","2.5–4 m H × 2.5–4 m W","","","13","10","7","5","80","45","","","Hardy through a cold UK winter, withstanding -15 to -10C.","evergreen","","","",""
"0","Black Chokeberry","Aronia melanocarpa","5","White spring flowers · glossy black berries from late summer · fiery red autumn leaves","Moderate; tolerates wet ground once established","Any aspect","Moist but well-drained; Avoid shallow soil over chalk","Little needed; thin out or remove suckers in late winter","","May-Oct","","","","","","","","","","","'Autumn Magic' · 'Hugin' · 'Nero' · Aronia × prunifolia 'Brilliant'","H6","very cold-hardy · wet-soil tolerant · wildlife value · low-maintenance","wildlife planting · autumn colour · informal hedging · edible fruit","1.5–2.5 m H × 1.5–3 m W","","","10","2","11","3","75","40","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Hairy Canary Clover","Lotus hirsutus LITTLE BOY BLUE ('Lisbob')","205","Soft silver-grey foliage · pink-tinged white pea flowers · mahogany seed pods after","Low once established; water only in prolonged drought","South / West","Free-draining; Winter wet kills it, not cold","Light trim after flowering to keep it compact; avoid cutting into old wood","","Jul-Oct","","","","","","","","","","","syn. Dorycnium hirsutum · 'Fréjorgues'","H4","drought-tolerant · coastal · poor-soil tolerant · pollinator friendly","gravel gardens · containers · sunny edging · coastal planting","30 cm H × 30 cm W","","","10","2","3","5","95","60","","","Hardy through an average UK winter, withstanding -10 to -5C.","","","","",""
"0","Bonfire Begonia","Begonia BONFIRE ('Nzcone')","15","Arching stems hung with fiery orange-red lantern flowers from summer to first frost","Keep evenly moist in growth; never leave standing in water","Any aspect","Well-drained compost; No frost — lift before the first","No pruning; dry the tuber off after the first frost and store frost-free","","Jun-Oct","","","","","","","","","","","a Begonia boliviensis selection · sister to 'Firecracker'","H2","heat-tolerant · self-cleaning flowers · shade-tolerant","containers · hanging baskets · window boxes · summer bedding","30–45 cm H × 30–45 cm W","","","16","10","13","14","50","25","","","Tender: withstands 1-5C and no frost at all. Outdoors in summer only, or under glass.","","","","",""
"0","Virginia Creeper","Parthenocissus quinquefolia","355","Five-fingered leaves turning crimson and orange in autumn · blue-black berries","Moderate; low once established","Any aspect","Any well-drained soil; Very vigorous — keep off roofs and gutters","Cut back hard in winter to keep it clear of roofs, gutters and windows","","Sep-Nov","","","","","","","","","","","'Engelmannii' · not to be confused with Boston Ivy, Parthenocissus tricuspidata","H6","self-clinging · shade-tolerant","walls · fences · fast screening · autumn colour","8–12 m H × 4–8 m W","","","18","2","8","12","60","20","","Listed on Schedule 9 of the Wildlife and Countryside Act 1981. Sale is not banned, but it must not be planted or otherwise caused to grow in the wild.","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Flowering Quince 'Kinshiden'","Chaenomeles speciosa 'Kinshiden'","50","Semi-double lemon-cream flowers with green centres on bare spring stems · thorny","Moderate; low once established","Any aspect","Well-drained; any pH; Goes chlorotic on very alkaline soil","Shorten side shoots after flowering; spur-prune if wall-trained","","Mar-Jun","","","","","","","","","","","'Crimson and Gold' · 'Nivalis' · 'Moerloosei'","H6","very hardy · thorny · wall-trainable · lime-tolerant · shade-tolerant","wall training · informal hedging · early nectar · fruit for jelly","1.5–2.5 m H × 2–3 m W","","","8","8","8","10","70","35","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Obsession Japanese Skimmia","Skimmia japonica OBSESSION ('Obsbolwi')","0","Glossy evergreen leaves · fragrant white spring flowers · persistent red berries","Keep evenly moist","North / East / West","Humus-rich, acid-neutral; Sheltered · avoid chalk and waterlogging","No routine pruning; lightly shape in spring if needed","","Oct-Mar","","","","","","","","","","","trade name OBSESSION; cultivar code 'Obsbolwi'","H5","self-fertile · shade tolerant · compact","containers · shade borders · winter colour","0.5–1 m H × 0.5–1 m W","","","6","10","11","5","25","10","","","Hardy through a cold UK winter, withstanding -15 to -10C.","evergreen","","","",""
"0","Black Beauty Elder","Sambucus nigra f. porphyrophylla 'Gerda'","345","Purple-black foliage · lemon-scented pink flowers · dark autumn berries","Moderate; water during prolonged dry spells","Any aspect","Any well-drained soil; Full sun gives darkest foliage","Prune hard in spring to restrict size or renew foliage","","Apr-Oct","","","","","","","","","","","trade synonym BLACK BEAUTY; cultivar code 'Gerda'","H6","coastal · exposed-site tolerant · adaptable","foliage contrast · wildlife · screening","2.5–4 m H × 2.5–4 m W","","","13","10","8","6","85","45","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
"0","Pineapple Broom","Argyrocytisus battandieri","55","Silky silver-grey leaves · upright yellow flower spikes strongly scented of pineapple","Low once established","South / West","Poor, well-drained; Sheltered · may chlorose on shallow chalk","Prune minimally after flowering; train young shoots if wall-grown","","Jun-Aug","","","","","","","","","","","syn. Cytisus battandieri","H5","drought · coastal · lime tolerant","scented borders · wall shrubs · Mediterranean planting","2.5–4 m H × 2.5–4 m W","","","8","7","5","6","95","85","","","Hardy through a cold UK winter, withstanding -15 to -10C.","","","","",""
"0","Orange Star Firethorn","Pyracantha coccinea 'Orange Star'","30","Thornless evergreen shrub · white flowers earlier · heavy crops of orange berries","Moderate until established","Any aspect","Fertile, well-drained; Avoid waterlogging; full sun best","Prune after flowering; retain older wood for berrying","","Sep-Feb","","","","","","","","","","","Star Series","H2","thornless · fireblight tolerant · disease resistant","walls · hedging · containers · wildlife","2 m H × 1 m W","","","9","8","6","5","75","35","","","Tender: withstands 1-5C and no frost at all. Outdoors in summer only, or under glass.","evergreen","","","",""
"0","Chinese Wisteria","Wisteria sinensis","275","Fragrant lilac flower racemes open before leaves · vigorous twining climber","Moderate; water during prolonged dry spells","South / West","Moist, well-drained; Sheltered · avoid waterlogged ground","Prune twice yearly in Jul-Aug and Jan-Feb","","May-Jun","","","","","","","","","","","syn. Wisteria chinensis","H6","cold hardy · vigorous · very long-lived","walls · pergolas · large trees · trained standards","12–15 m H × 8–12 m W","","","16","11","9","13","90","50","","","Hardy through a very cold UK winter, withstanding -20 to -15C.","","","","",""
